AirportName,MostFrequentReason,NumberOfCancellations
"Indianapolis, IN: Indianapolis International",Weather,7
"International Falls, MN: Falls International Einarson Field",Weather,2
"Iron Mountain/Kingsfd, MI: Ford",Weather,3
"Islip, NY: Long Island MacArthur",Weather,2
"Jackson, WY: Jackson Hole",Weather,12
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,5
"Jacksonville, FL: Jacksonville International",Weather,13
"Jamestown, ND: Jamestown Regional",Weather,1
"Juneau, AK: Juneau International",Weather,5
"Kahului, HI: Kahului Airport",Carrier,8
"Kalamazoo, MI: Kalamazoo/Battle Creek International",Weather,3
"Kansas City, MO: Kansas City International",Weather,10
"Kearney, NE: Kearney Regional",Weather,1
"Ketchikan, AK: Ketchikan International",Weather,1
"Key West, FL: Key West International",Weather,23
"Killeen, TX: Robert Gray AAF",Weather,4
"Knoxville, TN: McGhee Tyson",Weather,6
"Kodiak, AK: Kodiak Airport",Weather,2
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,6
"Kotzebue, AK: Ralph Wien Memorial",Weather,1
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,4
"Lake Charles, LA: Lake Charles Regional",Weather,3
"Lansing, MI: Capital Region International",Weather,1
"Laredo, TX: Laredo International",Weather,2
"Las Vegas, NV: McCarran International",Weather,46
"Latrobe, PA: Arnold Palmer Regional","National Air System",1
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,5
"Lewiston, ID: Lewiston Nez Perce County",Weather,1
"Lexington, KY: Blue Grass",Weather,1
"Lihue, HI: Lihue Airport",Carrier,4
"Lincoln, NE: Lincoln Airport",Weather,1
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,5
"Long Beach, CA: Long Beach Airport",Weather,12
"Longview, TX: East Texas Regional",Weather,4
"Los Angeles, CA: Los Angeles International",Weather,36
"Louisville, KY: Louisville Muhammad Ali International",Weather,4
"Lubbock, TX: Lubbock Preston Smith International",Weather,3
"Madison, WI: Dane County Regional-Truax Field",Weather,3
"Manchester, NH: Manchester-Boston Regional",Weather,2
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,4
"Marquette, MI: Sawyer International",Weather,3
"Mason City, IA: Mason City Municipal",Weather,6
"Medford, OR: Rogue Valley International - Medford",Weather,19
"Melbourne, FL: Melbourne International",Carrier,1
"Memphis, TN: Memphis International",Weather,6
"Meridian, MS: Key Field",Weather,1
"Miami, FL: Miami International",Weather,29
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,4
"Milwaukee, WI: General Mitchell International",Weather,5
"Minneapolis, MN: Minneapolis-St Paul International",Weather,51
"Minot, ND: Minot International",Weather,1
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,6
"Missoula, MT: Missoula International",Weather,3
"Mobile, AL: Mobile Regional",Weather,4
"Moline, IL: Quad City International",Weather,2
"Monroe, LA: Monroe Regional",Weather,2
"Monroe, LA: Monroe Regional","National Air System",2
"Monterey, CA: Monterey Regional",Weather,6
"Montgomery, AL: Montgomery Regional",Weather,5
"Montrose/Delta, CO: Montrose Regional",Weather,1
"Mosinee, WI: Central Wisconsin",Weather,1
"Myrtle Beach, SC: Myrtle Beach International",Weather,3
"Nashville, TN: Nashville International",Weather,26
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,11
"New York, NY: John F. Kennedy International",Weather,21
"New York, NY: LaGuardia",Weather,33
"Newark, NJ: Newark Liberty International",Weather,44
"Niagara Falls, NY: Niagara Falls International",Weather,1
"Norfolk, VA: Norfolk International",Weather,10
"Oakland, CA: Metropolitan Oakland International",Weather,15
"Oklahoma City, OK: Will Rogers World",Weather,10
"Omaha, NE: Eppley Airfield",Weather,6
"Ontario, CA: Ontario International",Weather,5
"Orlando, FL: Orlando International",Weather,26
"Palm Springs, CA: Palm Springs International",Weather,6
"Panama City, FL: Northwest Florida Beaches International",Weather,1
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,2
"Pellston, MI: Pellston Regional Airport of Emmet County",Weather,3
"Pensacola, FL: Pensacola International",Weather,4
"Peoria, IL: General Downing - Peoria International",Weather,1
"Petersburg, AK: Petersburg James A Johnson",Weather,1
"Philadelphia, PA: Philadelphia International",Weather,24
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,8
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,40
"Pittsburgh, PA: Pittsburgh International",Weather,14
"Plattsburgh, NY: Plattsburgh International","National Air System",4
"Ponce, PR: Mercedita",Weather,1
"Portland, ME: Portland International Jetport",Weather,4
"Portland, OR: Portland International",Weather,8
"Portsmouth, NH: Portsmouth International at Pease",Carrier,1
"Portsmouth, NH: Portsmouth International at Pease",Weather,1
"Presque Isle/Houlton, ME: Presque Isle International","National Air System",1
"Providence, RI: Theodore Francis Green State",Carrier,1
"Providence, RI: Theodore Francis Green State",Weather,1
"Provo, UT: Provo Municipal",Weather,4
"Punta Gorda, FL: Punta Gorda Airport",Weather,6
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,14
"Redding, CA: Redding Municipal",Weather,2
"Reno, NV: Reno/Tahoe International",Weather,7
"Rhinelander, WI: Rhinelander/Oneida County",Weather,2
"Richmond, VA: Richmond International",Weather,9
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,11
"Rochester, MN: Rochester International",Weather,3
"Rochester, NY: Greater Rochester International",Weather,1
"Rochester, NY: Greater Rochester International",Carrier,1
"Rockford, IL: Chicago/Rockford International",Weather,1
"Roswell, NM: Roswell International Air Center",Weather,5
"Sacramento, CA: Sacramento International",Weather,24
"Saginaw/Bay City/Midland, MI: MBS International",Weather,2
"Salt Lake City, UT: Salt Lake City International",Weather,21
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,5
"San Antonio, TX: San Antonio International",Weather,16
"San Diego, CA: San Diego International",Weather,165
"San Francisco, CA: San Francisco International",Weather,57
"San Jose, CA: Norman Y. Mineta San Jose International",Weather,25
"San Juan, PR: Luis Munoz Marin International",Carrier,10
"San Luis Obispo, CA: San Luis County Regional",Weather,19
"Sanford, FL: Orlando Sanford International",Weather,5
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,22
"Santa Barbara, CA: Santa Barbara Municipal",Weather,5
"Santa Fe, NM: Santa Fe Municipal",Weather,5
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Weather,3
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Weather,15
"Sault Ste. Marie, MI: Chippewa County International",Weather,3
"Savannah, GA: Savannah/Hilton Head International",Weather,7
"Seattle, WA: Seattle/Tacoma International",Weather,45
"Shreveport, LA: Shreveport Regional",Weather,7
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,3
"Sioux Falls, SD: Joe Foss Field",Carrier,17
"Sitka, AK: Sitka Rocky Gutierrez",Weather,1
"South Bend, IN: South Bend International",Weather,2
"Spokane, WA: Spokane International",Weather,2
"Springfield, MO: Springfield-Branson National",Weather,4
"St. Cloud, MN: St. Cloud Regional",Weather,1
"St. Louis, MO: St Louis Lambert International",Weather,13
"St. Petersburg, FL: St Pete Clearwater International",Weather,14
"Stillwater, OK: Stillwater Regional",Weather,3
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,4
"Syracuse, NY: Syracuse Hancock International",Carrier,2
"Tallahassee, FL: Tallahassee International",Weather,2
"Tampa, FL: Tampa International",Weather,14
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,2
"Traverse City, MI: Cherry Capital",Weather,2
"Trenton, NJ: Trenton Mercer",Weather,7
"Tucson, AZ: Tucson International",Weather,10
"Tulsa, OK: Tulsa International",Weather,11
"Tyler, TX: Tyler Pounds Regional",Weather,5
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,18
"Victoria, TX: Victoria Regional",Weather,1
"Waco, TX: Waco Regional",Weather,3
"Washington, DC: Ronald Reagan Washington National",Weather,81
"Washington, DC: Washington Dulles International",Carrier,10
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,14
"White Plains, NY: Westchester County",Weather,14
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,6
"Wilmington, NC: Wilmington International",Weather,2
"Worcester, MA: Worcester Regional",Weather,3
"Wrangell, AK: Wrangell Airport",Weather,2
"Yakutat, AK: Yakutat Airport",Weather,3
