Name,Min(DepDelay)
"Delta Air Lines Inc.: DL",-59
"Alaska Airlines Inc.: AS",-42
"JetBlue Airways: B6",-38
"Allegiant Air: G4",-38
"PSA Airlines Inc.: OH",-38
"Frontier Airlines Inc.: F9",-31
"United Air Lines Inc.: UA",-31
"American Airlines Inc.: AA",-30
"SkyWest Airlines Inc.: OO",-29
"Endeavor Air Inc.: 9E",-28
"Spirit Air Lines: NK",-28
"Envoy Air: MQ",-24
"Republic Airline: YX",-24
"Hawaiian Airlines Inc.: HA",-22
"Southwest Airlines Co.: WN",-17
